t,count,mean_rate,m1_rate
1500461139,83327,22.545183982683984,163.58333333333334
1500461149,85215,22.993793847814356,167.13333333333333
1500461158,87051,23.432301480484522,171.0
1500461168,88803,23.83973154362416,179.31666666666666
1500461178,90465,24.220883534136547,183.3
1500461188,92217,24.62403204272363,181.9
1500461197,94095,25.065263718700052,179.46666666666667
1500461207,95566,25.389479277364504,172.51666666666668
1500461217,97019,25.707207207207208,166.13333333333333
1500461227,98886,26.132663847780126,168.05
1500461237,100727,26.549024775962046,171.03333333333333
1500461246,102467,26.94372863528793,170.83333333333334
1500461256,104508,27.408339889850513,173.55
1500461266,106261,27.795187025895892,178.25
1500461276,107559,28.061309679102532,175.66666666666666
1500461285,109469,28.492712129099427,176.38333333333333
1500461295,110532,28.694704049844237,163.41666666666666
1500461305,112270,29.070429829104093,163.38333333333333
1500461315,114186,29.490185950413224,161.3
1500461325,115850,29.842864502833592,159.81666666666666
1500461334,117616,30.22770496016448,167.61666666666667
1500461344,119652,30.67213534991028,169.71666666666667
1500461354,121010,30.940935822040398,174.63333333333333
1500461364,122551,31.255036980362153,171.35
1500461374,124020,31.549224116001017,163.9
1500461383,125712,31.906598984771573,164.36666666666667
1500461393,127111,32.18,158.25
1500461403,128803,32.5260101010101,152.51666666666668
1500461413,130729,32.92921914357682,161.98333333333332
1500461423,132948,33.404020100502514,173.28333333333333
1500461432,135133,33.87641012785159,185.21666666666667
1500461442,136981,34.25381345336334,187.81666666666666
1500461452,138825,34.62833624345223,195.23333333333332
1500461462,140882,35.05399353072904,201.31666666666666
1500461471,142526,35.38381330685203,196.61666666666667
1500461481,144152,35.698860822189204,186.73333333333332
1500461491,145608,35.9703557312253,174.58333333333334
1500461501,147034,36.23311976343026,167.55
1500461511,148930,36.610127826941984,168.41666666666666
1500461520,150507,36.916114790286976,160.41666666666666
1500461530,152156,37.22926351847321,160.5
1500461540,153889,37.56138638027825,162.28333333333333
1500461550,155924,37.965424884343804,171.93333333333334
1500461559,157547,38.27672497570457,175.21666666666667
1500461569,159256,38.598158022297625,172.1
1500461579,160132,38.716634429400386,160.41666666666666
1500461589,162101,39.098166907863,165.75
1500461599,163607,39.36645813282002,161.96666666666667
1500461608,165068,39.63217286914766,152.4
1500461618,166822,39.95736526946108,154.58333333333334
1500461628,168613,40.28984468339307,155.95
1500461638,170311,40.598569725864124,169.65
1500461648,171682,40.82806183115339,159.68333333333334
1500461657,172957,41.04342667299478,155.83333333333334
1500461667,174581,41.330729166666664,158.55
1500461677,175661,41.488190836088805,147.31666666666666
1500461687,176941,41.69203581526862,138.8
1500461696,178291,41.921232071478954,133.0
1500461706,179606,42.13136288998358,132.06666666666666
1500461716,180860,42.32623449567049,131.71666666666667
1500461726,181853,42.459257529768855,121.2
